#OTU ID	S324	S164	S400	S346	S145	S568	S389	S459	S566	S579	S532	S332	S119	S147	S112	S169	S325	S105	S355	S165	S55	S229	S116	S58	S176	S507	S490	S565	S161	S341	S511	S571	S92	S354	S557	S174	S71	S113	S166	S533	S580	S168	S554	S516	S100	S508	S336	S276	S267	S111	S638	S647	S668	S196	S210	S632	S76	S436	S603	S683	S21	S454	S644	S678	S456	S425	S642	S599	S687	S674	S433	S320	S653	S663	S648	S423	S303	S444	S662	S288	S596	S435	S602	S637	S80	S260	S37	S90	S453	S428	S438	S701	S645	S604	S286	S608	S609	S698	S643	S685	S652
Otu000128_Acidiphilium	316	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	7	0	3	3	22	16	6	0	56	5	4	7	12	6	7	0	2	4	12	0	2	4	0	0	0	0	2	0	2	9	0	0	66	0	0	0	10	2	1	6	0	4	0	2	0	7	1	5	0
Otu000129_Pajaroellobacter	65	117	5	0	12	1	0	2	0	1	0	8	1	5	0	35	0	0	0	7	0	0	7	0	33	0	7	0	0	5	0	0	0	0	0	0	0	0	58	0	0	8	2	0	0	26	21	3	0	8	14	0	7	0	7	3	22	4	0	4	40	3	7	4	9	15	0	0	1	9	4	0	5	11	4	1	0	30	2	0	0	15	0	3	5	0	9	0	17	17	15	5	6	0	0	5	44	1	28	0	4
Otu000130_Methylotenera	225	2	16	13	0	22	18	0	0	0	36	0	0	0	0	0	0	0	0	0	30	4	14	9	0	0	62	0	0	2	0	3	0	0	0	7	26	0	0	16	7	0	5	0	0	0	0	0	0	0	32	9	0	0	0	1	0	8	34	24	0	8	0	8	21	12	29	85	3	5	27	0	2	2	0	1	0	10	3	0	68	1	24	34	0	0	0	0	2	1	4	2	3	23	0	2	0	6	2	1	19
Otu000131_Abditibacterium	174	135	0	27	0	0	0	6	0	0	0	49	0	0	0	8	4	0	3	0	1	0	1	1	0	0	0	0	0	3	0	0	0	1	0	5	0	0	1	0	0	6	0	0	0	3	16	0	0	0	23	0	2	8	1	3	0	1	7	4	126	13	1	3	14	22	6	3	1	1	2	38	0	5	1	14	0	2	1	0	0	2	7	5	13	17	0	0	32	13	1	1	0	3	11	10	12	2	5	2	0
Otu000132_Sphingorhabdus	31	6	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	1	6	0	0	15	0	3	1	0	0	0	0	0	0	8	183	8	28	34	3	19	55	0	0	0	1	18	24	8	56	16	0	0	5	96	0	57	5	1	3	0	0	5	0	0	106	0	32	3	0	0	1	0	42	111	32	28	0	0	0	2	9	5	1	0
Otu000133_Comamonadaceae_unclassified	18	49	2	22	4	3	0	3	5	1	0	0	10	1	0	16	0	0	8	6	0	7	4	0	18	2	6	2	1	1	2	1	0	1	2	31	13	3	23	3	12	3	6	3	2	86	15	0	0	0	17	21	33	48	31	5	22	18	3	17	8	7	28	4	5	28	4	3	4	24	19	3	28	10	10	23	0	29	15	0	1	23	1	2	15	2	26	0	12	24	22	33	12	1	18	3	8	8	2	4	5
Otu000134_Comamonadaceae_unclassified	48	5	2	21	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	0	2	0	0	0	12	2	1	0	2	1	5	0	0	0	6	0	0	0	0	38	15	27	6	1	8	7	17	1	42	12	1	14	5	2	15	39	4	4	8	10	25	21	14	2	0	0	10	24	0	1	9	2	21	0	9	0	0	2	15	10	9	10	10	4	3	2	1	24	1	5
Otu000135_Bradyrhizobium	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	204	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	19	33	8	0	0	26	0	7	6	68	9	24	9	4	64	9	32	96	13	11	7	19	33	1	0	0	0	10	35	37	2	10	36	8	9	63	0	0	59	13	5	10	12	3	3	14	11	8	4	26	31
Otu000136_67-14_ge	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	232	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	9	9	3	3	3	13	11	24	22	18	151	7	5	71	1	5	56	24	4	7	12	21	0	1	0	0	3	0	56	4	5	49	4	0	39	0	3	28	1	2	7	2	5	0	91	2	28	0	22	23
Otu000137_Rubellimicrobium	526	1	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	57	0	3	0	0	0	0	3	0	54	18	2	13	17	4	1	1	1	1	1	4	7	2	0	0	0	0	3	0	3	38	2	11	0	0	4	0	0	9	0	0	37	2	11	0	0	8	12	5	3	0	0	0	5	0	0	4	0
Otu000139_Sphingomonas	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	188	1	16	6	2	0	69	5	27	0	6	178	73	8	5	6	68	17	6	94	10	11	18	15	10	0	3	6	27	31	82	27	1	0	8	0	0	0	4	59	1	99	7	2	0	2	13	17	0	52
Otu000140_Actinomycetospora	254	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	56	0	0	15	0	0	0	0	0	0	0	1	0	0	0	8	3	5	0	0	0	0	0	0	22	0	10	0	68	0	2	35	27	4	0	16	35	7	31	3	28	35	25	5	26	12	5	3	83	8	10	2	65	1	2	0	0	1	24	27	2	16	1	0	5	6	5	0	18	16	3	9	11	15	11	40	17	26	1	19	1
Otu000141_Streptococcus	12	1	0	2	18	0	0	0	0	0	0	88	0	2	41	0	6	0	0	0	1	0	0	6	2	0	0	0	3	0	0	0	2	0	0	47	88	16	0	0	0	2	0	0	3	0	0	0	644	4	0	0	0	0	0	1	12	0	0	0	15	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	821	0	0	15	0	0	0	0	29	2	65	0	1	0	0	0	0	0	12	0	0	0	0	0	0
Otu000142_Kineosporia	87	39	1	69	6	1	0	10	0	1	0	3	7	0	0	13	0	0	0	6	146	26	0	3	12	15	1	0	0	5	0	0	0	0	0	0	2	1	2	0	0	3	0	0	2	26	0	38	0	0	0	5	13	22	0	0	0	14	5	6	2	11	2	0	36	3	2	0	5	0	2	0	0	12	3	1	0	0	5	3	0	6	0	0	0	19	0	0	3	2	7	3	1	7	0	1	3	2	0	9	4
Otu000143_Rhodanobacteraceae_unclassified	136	6	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	10	0	1	0	2	0	0	0	0	5	0	0	0	0	7	11	40	11	1	25	1	43	11	11	43	14	15	0	4	13	13	2	10	2	27	12	26	6	8	0	0	0	17	0	0	15	0	1	29	0	14	0	2	8	64	15	4	6	35	3	5	4	7	2	0
Otu000144_Pseudomonas	0	4	0	6	1	10	22	12	1	1211	2	6	0	0	69	6	3	0	76	23	48	1	20	2	68	0	37	17	0	112	56	49	0	0	11	1	1	3	14	0	264	0	7	0	0	3	2	0	0	0	0	0	4	0	1	2	19	2	48	3	0	1	4	10	1	3	4	0	5	61	4	2	10	0	12	99	0	4	17	0	14	0	9	0	0	0	5	0	0	1	2	9	16	15	2	0	2	11	4	0	1
Otu000146_vadinHA49_ge	36	0	0	3	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	73	0	0	0	48	0	3	0	3	9	87	13	0	0	0	17	0	0	53	9	31	0	0	8	4	4	11	0	0	0	0	0	1	0	0	2	0	31	16	0	0	0	74	13	6	14	0	7	0	20	0	0	17	0	0
Otu000147_Nocardioides	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	1	3	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	2	62	7	38	29	5	0	60	1	0	5	1	91	150	0	5	5	0	15	4	30	0	29	14	1	26	0	1	13	0	46	31	15	0	1	0	7	0	1	6	30	5	55	8	78	0	0	13	2	20	0
